var_desc,var,var_desc_ewas,Matched Unit,Unit Type,ID,Test Name,Specimen,Cell Type,Low CU,High CU,Conventional Units,Low SI,High SI,SI Units,Effect,Test Method Type,Gender,Age_group,Testing time,Tests Anatomical Position,Blood level,Infection Type,Other conditions,Source,Comments
 - , - , - , - , - ,#644,Alpha fetoprotein (AFP),Serum, -,0,20,ng/dL,0,20,pg/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#645,d-Aminolevulinic acid (ALA),Serum, -,15,23,ug/L,1.14,1.75,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Alanine aminotransferase ALT (U/L),LBXSATSI,biochemistry,U/L,Conventional Unit,#646,"Aminotransferase, alanine (ALT)",Serum, -,0,35,U/L,0,0.58,pkat/L, -, -, -, -, -, -, -, -, -,Merck's Manual,pkat = picokatal.
Alanine aminotransferase (ALT) (U/L),LBXSATSI,biochemistry,U/L,Conventional Unit,#646,"Aminotransferase, alanine (ALT)",Serum, -,0,35,U/L,0,0.58,pkat/L, -, -, -, -, -, -, -, -, -,Merck's Manual,pkat = picokatal.
Alanine aminotransferase (U/L),LB2SATSI,biochemistry,U/L,Conventional Unit,#646,"Aminotransferase, alanine (ALT)",Serum, -,0,35,U/L,0,0.58,pkat/L, -, -, -, -, -, -, -, -, -,Merck's Manual,pkat = picokatal.
Aspartate aminotransferase AST (U/L),LBXSASSI,biochemistry,U/L,Conventional Unit,#647,"Aminotransferase, aspartate (AST)",Serum, -,0,35,U/L,0,0.58,pkat/L, -, -, -, -, -, -, -, -, -,Merck's Manual,pkat = picokatal.
Asparate aminotransferase (AST) (U/L),LBXSASSI,biochemistry,U/L,Conventional Unit,#647,"Aminotransferase, aspartate (AST)",Serum, -,0,35,U/L,0,0.58,pkat/L, -, -, -, -, -, -, -, -, -,Merck's Manual,pkat = picokatal.
Aspartate aminotransferase (U/L),LB2SASSI,biochemistry,U/L,Conventional Unit,#647,"Aminotransferase, aspartate (AST)",Serum, -,0,35,U/L,0,0.58,pkat/L, -, -, -, -, -, -, -, -, -,Merck's Manual,pkat = picokatal.
 - , - , - , - , - ,#648,Ammonia,Plasma, -,40,80,ug/dL,23,47,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#649,Amylase,Serum, -,0,130,U/L,0,2.17,ukat/L, -, -, -, -, -, -, -, -, -,Merck's Manual,ukat = microkatal.
 - , - , - , - , - ,#650,Antibodies to extractable nuclear antigen (AENA),Serum, -, -,< 20.0,units, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#651,Anticyclic citrullinated peptide (anti-CCP) antibodies,Serum, -, -,<=5.0,units, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#652,Antidiuretic hormone (ADH;argininevasopressin),Plasma, -, -,< 1.7,pg/mL, -,<1.57,pmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#653,"Antidouble-stranded DNA (dsDNA) antibodies, IgG",Serum, -, -,< 25,IU, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#654,Antimitochondrial M2 antibodies,Serum, -, -,< 0.1,units, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#655,Antineutrophil cytoplasmic antibodies (cANCA),Serum, -, -, - ,Negative, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#656,Antinuclear antibodies (ANA),Serum, -, -,<=1.0,units, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#657,Antismooth muscle antibodies (ASMA) titer,Serum, -, -,<=1:80, - , -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#658,Antistreptolysin O titer,Serum, -, -,< 150,units, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#659,Antithyroid microsomal antibody titer,Serum, -, -,< 1:100, - , -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#660,a1-Antitrypsin (AAT),Serum, -,83,199,mg/dL,15.3,36.6,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#661,"Apolipoproteins, A-I",Serum, -,98,210,mg/dL,0.98,2.1,g/L, -, -,Female, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#662,"Apolipoproteins, A-I",Serum, -,88,180,mg/dL,0.88,1.8,g/L, -, -,Male, -, -, -, -, -, -,Merck's Manual, -
Apolipoprotein (B) (g/L),LBDAPBSI,biochemistry,g/L,SI Unit,#663,"Apolipoproteins, B-100",Serum, -,44,148,mg/dL,0.44,1.48,g/L, -, -,Female, -, -, -, -, -, -,Merck's Manual, -
Apolipoprotein (B) (mg/dL),LBXAPB,biochemistry,mg/dL,Conventional Unit,#664,"Apolipoproteins, B-100",Serum, -,55,151,mg/dL,0.55,1.51,g/L, -, -,Male, -, -, -, -, -, -,Merck's Manual, -
Bicarbonate (mmol/L),LBXSC3SI,biochemistry,mmol/L,SI Unit,#665,"Bicarbonate, B-100",Serum, -,23,28,mEq/L,23,28,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Bicarbonate: SI (mmol/L),LBXSC3SI,biochemistry,mmol/L,SI Unit,#665,"Bicarbonate, B-100",Serum, -,23,28,mEq/L,23,28,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Bicarbonate (mmol/L),LB2SC3SI,biochemistry,mmol/L,SI Unit,#665,"Bicarbonate, B-100",Serum, -,23,28,mEq/L,23,28,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#666,"Bilirubin, Direct",Serum, -,0,0.3,mg/dL,0,5.1,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total bilirubin (mg/dL),LBXSTB,biochemistry,mg/dL,Conventional Unit,#667,"Bilirubin, Total",Serum, -,0.3,1.2,mg/dL,5.1,20.5,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Bilirubin, total (umol/L)",LBDSTBSI,biochemistry,umol/L,SI Unit,#667,"Bilirubin, Total",Serum, -,0.3,1.2,mg/dL,5.1,20.5,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Bilirubin, total (mg/dL)",LBXSTB,biochemistry,mg/dL,Conventional Unit,#667,"Bilirubin, Total",Serum, -,0.3,1.2,mg/dL,5.1,20.5,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total bilirubin (umol/L),LBDSTBSI,biochemistry,umol/L,SI Unit,#667,"Bilirubin, Total",Serum, -,0.3,1.2,mg/dL,5.1,20.5,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Bilirubin, total (mg/dL)",LB2STB,biochemistry,mg/dL,Conventional Unit,#667,"Bilirubin, Total",Serum, -,0.3,1.2,mg/dL,5.1,20.5,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Bilirubin, total (umol/L)",LB2STBSI,biochemistry,umol/L,SI Unit,#667,"Bilirubin, Total",Serum, -,0.3,1.2,mg/dL,5.1,20.5,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#668,"Blood volume, Plasma",Blood, -,28,43,mL/kg body wt,0.028,0.043,L/kg body wt, -, -,Female, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#669,"Blood volume, Plasma",Blood, -,25,44,mL/kg body wt,0.025,0.044,L/kg body wt, -, -,Male, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#670,"Blood volume, RBCs",Blood, -,20,30,mL/kg body wt,0.02,0.03,L/kg body wt, -, -,Female, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#671,"Blood volume, RBCs",Blood, -,25,35,mL/kg body wt,0.025,0.035,L/kg body wt, -, -,Male, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#672,Brain (B-type) natriuretic peptide (BNP),Plasma, -, -,< 100,pg/mL, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#673,Calcitonin,Serum, -, -,< 8,pg/mL, -, -, -, -, -,Female,>=18 yr, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#674,Calcitonin,Serum, -, -,< 16,pg/mL, -, -, -, -, -,Male,>=16 yr, -, -, -, -, -,Merck's Manual, -
Total calcium (mg/dL),LBXSCA,biochemistry,mg/dL,Conventional Unit,#675,Calcium,Serum, -,9,10.5,mg/dL,2.2,2.6,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total calcium (mmol/L),LBDSCASI,nutrients,mmol/L,SI Unit,#675,Calcium,Serum, -,9,10.5,mg/dL,2.2,2.6,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total Calcium (mg/dL),LBXSCA,biochemistry,mg/dL,Conventional Unit,#675,Calcium,Serum, -,9,10.5,mg/dL,2.2,2.6,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total Calcium (mmol/L),LBDSCASI,nutrients,mmol/L,SI Unit,#675,Calcium,Serum, -,9,10.5,mg/dL,2.2,2.6,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Calcium, total (mmol/L)",LBDSCASI,nutrients,mmol/L,SI Unit,#675,Calcium,Serum, -,9,10.5,mg/dL,2.2,2.6,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Calcium, total (mg/dL)",LBXSCA,biochemistry,mg/dL,Conventional Unit,#675,Calcium,Serum, -,9,10.5,mg/dL,2.2,2.6,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total calcium (mmol/L),LBDSCASI,biochemistry,mmol/L,SI Unit,#675,Calcium,Serum, -,9,10.5,mg/dL,2.2,2.6,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total calcium (mg/dL),LB2SCA,biochemistry,mg/dL,Conventional Unit,#675,Calcium,Serum, -,9,10.5,mg/dL,2.2,2.6,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total calcium (mmol/L),LB2SCASI,biochemistry,mmol/L,SI Unit,#675,Calcium,Serum, -,9,10.5,mg/dL,2.2,2.6,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#676,"Cancer antigen (CA), CA 125",Serum, -, -,< 35,U/mL, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#677,"Cancer antigen (CA), CA 15-3",Serum, -, -,< 30,U/mL, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#678,Carbon dioxide (CO2) content,Serum, -,23,28,mEq/L,23,28,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#679,Carbon dioxide partial pressure (PCO2),Blood, -,35,45,mm Hg, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#680,Carboxyhemoglobin,Plasma, -,0.5,5,%, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#681,Carcinoembryonic antigen (CEA),Serum, -, -,< 2,ng/mL, -,<2,ug/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#682,Carotene,Serum, -,75,300,ug/L,1.4,5.6,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#683,CD4:CD8 ratio,Blood, -,1,4, -, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#684,CD4+ T-cell count,Blood, -,640,1175,/uL,0.64,1.18,x 10^9/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#685,CD8+ T-cell count,Blood, -,335,875,/uL,0.34,0.88,x 10^9/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#686,Ceruloplasmin,Serum, -,25,43,mg/dL,250,430,mg/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Chloride (mmol/L),LBXSCLSI,biochemistry,mmol/L,SI Unit,#687,Chloride,Serum, -,98,106,mEq/L,98,106,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Chloride: SI (mmol/L),LBXSCLSI,biochemistry,mmol/L,SI Unit,#687,Chloride,Serum, -,98,106,mEq/L,98,106,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Chloride (mmol/L),LB2SCLSI,biochemistry,mmol/L,SI Unit,#687,Chloride,Serum, -,98,106,mEq/L,98,106,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#688,"High-density lipoprotein (HDL-C) (Cholesterol, desirable level)",Plasma, -,>=40, -,mg/dL,>=1.04, -,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#689,"Low-density lipoprotein (LDL-C) (Cholesterol, desirable level)",Plasma, -, -,<=130,mg/dL, -,<=3.36,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total Cholesterol (mg/dL),LBXTC,biochemistry,mg/dL,Conventional Unit,#690,"Total (TC) (Cholesterol, desirable level)",Plasma, -,150,199,mg/dL,3.88,5.15,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total Cholesterol (mmol/L),LBDTCSI,biochemistry,mmol/L,SI Unit,#690,"Total (TC) (Cholesterol, desirable level)",Plasma, -,150,199,mg/dL,3.88,5.15,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total cholesterol (mg/dL),LBXTC,biochemistry,mg/dL,Conventional Unit,#690,"Total (TC) (Cholesterol, desirable level)",Plasma, -,150,199,mg/dL,3.88,5.15,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total Cholesterol( mmol/L),LBDTCSI,biochemistry,mmol/L,SI Unit,#690,"Total (TC) (Cholesterol, desirable level)",Plasma, -,150,199,mg/dL,3.88,5.15,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total cholesterol (mmol/L),LBDTCSI,biochemistry,mmol/L,SI Unit,#690,"Total (TC) (Cholesterol, desirable level)",Plasma, -,150,199,mg/dL,3.88,5.15,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Cholesterol, total (mmol/L)",LBDSCHSI,biochemistry,mmol/L,SI Unit,#690,"Total (TC) (Cholesterol, desirable level)",Plasma, -,150,199,mg/dL,3.88,5.15,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Cholesterol, total (mg/dL)",LBXSCH,biochemistry,mg/dL,Conventional Unit,#690,"Total (TC) (Cholesterol, desirable level)",Plasma, -,150,199,mg/dL,3.88,5.15,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Total Cholesterol( mg/dL),LBXTC,biochemistry,mg/dL,Conventional Unit,#690,"Total (TC) (Cholesterol, desirable level)",Plasma, -,150,199,mg/dL,3.88,5.15,mmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#691,Factor I (Coagulation factors),Plasma, -,150,300,mg/dL,1.5,3.5,g/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#692,Factor II (Coagulation factors),Plasma, -,60,150,% of normal, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#693,Factor IX (Coagulation factors),Plasma, -,60,150,% of normal, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#694,Factor V (Coagulation factors),Plasma, -,60,150,% of normal, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#695,Factor VII (Coagulation factors),Plasma, -,60,150,% of normal, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#696,Factor VIII (Coagulation factors),Plasma, -,60,150,% of normal, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#697,Factor X (Coagulation factors),Plasma, -,60,150,% of normal, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#698,Factor XI (Coagulation factors),Plasma, -,60,150,% of normal, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#699,Factor XII (Coagulation factors),Plasma, -,60,150,% of normal, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#700,C3 (Complement),Serum, -,55,120,mg/dL,0.55,1.2,g/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#701,C4  (Complement),Serum, -,20,59,mg/dL,0.2,0.59,g/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#702,Total  (Complement),Serum, -,37,55,U/mL,37,55,kU/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Serum Copper (umol/L),LBDSCUSI,heavy metals,umol/L,SI Unit,#703,Copper,Serum, -,70,155,ug/L,11,24.3,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#704,Cortisol,Serum, -,> 18, -,"ug/dL, usually >=8 above baseline",>498, -,nmol/L usually >= 221 nmol/L above baseline, -, -, -, -,1 h after cosyntropin, -, -, -, -,Merck's Manual, - 
 - , - , - , - , - ,#705,Cortisol,Serum, -,3,13,ug/dL,83,359,nmol/L, -, -, -, -,At 5pm, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#706,Cortisol,Serum, -,8,20,ug/dL,251,552,nmol/L, -, -, -, -,At 8am, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#707,Cortisol,Serum, -, -,< 5,ug/dL, -,<138,nmol/L, -, -, -, -,After overnight suppression test, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#708,C-peptide,Serum, -,0.9,4.3,ng/mL,297,1419,pmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
C-reactive protein(mg/dL),LBXCRP,biochemistry,mg/dL,Conventional Unit,#709,C-reactive protein (CRP),Serum, -, -,< 0.5,mg/dL, -,<0.005,g/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#710,"C-reactive protein, highly sensitive (hsCRP)",Serum, -, -,< 1.1,mg/dL, -,<0.0011,g/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#711,Creatine kinase (CK),Serum, -,30,170,U/L,0.5,2.83,ukat/L, -, -, -, -, -, -, -, -, -,Merck's Manual,ukat = microkatal.
Creatinine (umol/L),LBDSCRSI,biochemistry,umol/L,SI Unit,#712,Creatinine,Serum, -,0.7,1.3,mg/dL,61.9,115,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Creatinine (mg/dL),LBXSCR,biochemistry,mg/dL,Conventional Unit,#712,Creatinine,Serum, -,0.7,1.3,mg/dL,61.9,115,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Creatinine (mg/dL),LB2SCR,biochemistry,mg/dL,Conventional Unit,#712,Creatinine,Serum, -,0.7,1.3,mg/dL,61.9,115,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Creatinine (umol/L),LB2SCRSI,biochemistry,umol/L,SI Unit,#712,Creatinine,Serum, -,0.7,1.3,mg/dL,61.9,115,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#713,d-Dimer,Plasma, -, -,<=300,ng/mL, -,<=300,ug/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#714,Dehydroepiandrosterone sulfate (DHEA-S),Plasma, -,0.6,3.3,mg/mL,1.6,8.9,umol/L, -, -,Female, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#715,Dehydroepiandrosterone sulfate (DHEA-S),Plasma, -,1.3,5.5,mg/mL,3.5,14.9,umol/L, -, -,Male, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#716,d-Aminolevulinic acid (ALA),Serum, -,15,23,ug/L,1.14,1.75,umol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#717,"11-Deoxycortisol (DOC), Aftermetyrapone",Plasma, -,> 7, -,ug/dL,> 203, -,nmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#718,"11-Deoxycortisol (DOC), Basal",Plasma, -, -,< 5,ug/dL, -,<145,nmol/L, -, -, -, -, -, -,Basal, -, -,Merck's Manual, -
 - , - , - , - , - ,#719,d-Xylose level,Serum, -,> 20, -,mg/dL,> 1.3, -,nmol/L, -, -, -, -,2 h, -, -, -, -,Merck's Manual, 2 h after ingestion of 25 g of d-xylose
 - , - , - , - , - ,#720,Epinephrine,Plasma, -, -,< 75,ng/L, -,<410,pmol/L, -, -, -, -, -,Supine, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#721,Erythrocyte sedimentation rate (ESR),Blood, -,0,20,mm/h,0,20,mm/h, -, -,Female, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#722,Erythrocyte sedimentation rate (ESR),Blood, -,0,15,mm/h,0,20,mm/h, -, -,Male, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#723,Erythropoietin,Serum, -,4,18.5,mIU/mL,4,18.5,IU/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
estradiol (pg/mL),SSSE2,biochemistry,pg/mL,Conventional Unit,#724,Estradiol,Serum, -,14,27,pg/mL,50,100,pmol/L, -, -,Female, -,Day 1-10 of menstrual cycle, -, -, -, -,Merck's Manual, -
estradiol (pg/mL),SSSE2,biochemistry,pg/mL,Conventional Unit,#725,Estradiol,Serum, -,14,54,pg/mL,50,200,pmol/L, -, -,Female, -,Day 11-20 of menstrual cycle, -, -, -, -,Merck's Manual, -
estradiol (pg/mL),SSSE2,biochemistry,pg/mL,Conventional Unit,#726,Estradiol,Serum, -,19,40,pg/mL,70,150,pmol/L, -, -,Female, -,Day 21-30 of menstrual cycle, -, -, -, -,Merck's Manual, -
estradiol (pg/mL),SSSE2,biochemistry,pg/mL,Conventional Unit,#727,Estradiol,Serum, -,10,30,pg/mL,37,110,pmol/L, -, -,Male, -, -, -, -, -, -,Merck's Manual, -
Ferritin(ng/mL),LBXFER,biochemistry,ng/mL,Conventional Unit,#728,Ferritin,Serum, -,15,200,ng/mL,15,200,ug/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Ferritin in SI unit (ug/L),LBDFERSI,biochemistry,ug/L,SI Unit,#728,Ferritin,Serum, -,15,200,ng/mL,15,200,ug/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Ferritin(ug/L),LBDFERSI,biochemistry,ug/L,SI Unit,#728,Ferritin,Serum, -,15,200,ng/mL,15,200,ug/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Ferritin (ng/mL),LBXFER,biochemistry,ng/mL,Conventional Unit,#728,Ferritin,Serum, -,15,200,ng/mL,15,200,ug/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Ferritin (ug/L),LBDFERSI,biochemistry,ug/L,SI Unit,#728,Ferritin,Serum, -,15,200,ng/mL,15,200,ug/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Serum ferritin (ng/ml),SSFER,biochemistry,ng/ml,Conventional Unit,#728,Ferritin,Serum, -,15,200,ng/mL,15,200,ug/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#729,a-Fetoprotein (AFP),Serum, -,0,20,ng/dL,0,20,pg/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Fibrinogen (mg/dL),LBXFB,biochemistry,mg/dL,Conventional Unit,#730,Fibrinogen,Plasma, -,150,350,mg/dL,1.5,3.5,g/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Fibrinogen (g/L),LBDFBSI,biochemistry,g/L,SI Unit,#730,Fibrinogen,Plasma, -,150,350,mg/dL,1.5,3.5,g/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Folate, RBC (ng/mL RBC)",LBXRBF,nutrients,ng/mL,Conventional Unit,#731,Folate (folic acid),RBC, -,160,855,ng/mL,362,1937,nmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Folate, RBC (nmol/L RBC)",LBDRBFSI,nutrients,nmol/L,SI Unit,#731,Folate (folic acid),RBC, -,160,855,ng/mL,362,1937,nmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Folate, RBC(nmol/L RBC)",LBDRBFSI,nutrients,nmol/L,SI Unit,#731,Folate (folic acid),RBC, -,160,855,ng/mL,362,1937,nmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
RBC folate (ng/mL),LBDRBF,nutrients,ng/mL,Conventional Unit,#731,Folate (folic acid),RBC, -,160,855,ng/mL,362,1937,nmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
RBC folate (nmol/L),LBXRBFSI,nutrients,nmol/L,SI Unit,#731,Folate (folic acid),RBC, -,160,855,ng/mL,362,1937,nmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Folate, serum (ng/mL)",LBXFOL,nutrients,ng/mL,Conventional Unit,#732,Folate (folic acid),Serum, -,2.5,20,ng/mL,5.7,45.3,nmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
"Folate, serum (nmol/L)",LBDFOLSI,nutrients,nmol/L,SI Unit,#732,Folate (folic acid),Serum, -,2.5,20,ng/mL,5.7,45.3,nmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Serum folate (ng/mL),LBDFOL,nutrients,ng/mL,Conventional Unit,#732,Folate (folic acid),Serum, -,2.5,20,ng/mL,5.7,45.3,nmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Serum folate ( nmol/L),LBXFOLSI,nutrients,nmol/L,SI Unit,#732,Folate (folic acid),Serum, -,2.5,20,ng/mL,5.7,45.3,nmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Serum folate (nmol/L),LBXFOLSI,nutrients,nmol/L,SI Unit,#732,Folate (folic acid),Serum, -,2.5,20,ng/mL,5.7,45.3,nmol/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#733,Follicle-stimulating hormone (FSH),Serum, -,5,20,mU/mL,5,20,U/L, -, -,Female, -, -, -, -, -,Follicular or luteal phase,Merck's Manual, -
 - , - , - , - , - ,#734,Follicle-stimulating hormone (FSH),Serum, -,30,50,mU/mL,30,50,U/L, -, -,Female, -, -, -, -, -,Midcycle peak,Merck's Manual, -
 - , - , - , - , - ,#735,Follicle-stimulating hormone (FSH),Serum, -,> 35, -,mU/mL,>35, -,U/L, -, -,Female, -, -, -, -, -,Postmenopausal,Merck's Manual, -
 - , - , - , - , - ,#736,Follicle-stimulating hormone (FSH),Serum, -,5,15,mU/mL,5,15,U/L, -, -,Male,Adult, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#737,Fructosamine,Plasma, -,200,285,mol/L, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
Gamma glutamyl transferase (U/L),LBXSGTSI,biochemistry,U/L,Conventional Unit,#738,Gamma-glutamyl transpeptidase (GGT),Serum, -,8,78,U/L, -, -, -, -, -, -, -, -, -, -, -, -,Merck's Manual, -
 - , - , - , - , - ,#739,Gastrin,Serum, -,0,180,pg/mL,0,180,ng/L, -, -, -, -, -, -, -, -, -,Merck's Manual, -
